Year,Month,Day,Hour,Minute,Timestamp,Demand
2020,1,8,7,0,2020-01-08 07:00:00,5860.6485984499695
2020,1,8,7,30,2020-01-08 07:30:00,5923.139805200158
2020,1,8,8,0,2020-01-08 08:00:00,5985.453546063744
2020,1,8,8,30,2020-01-08 08:30:00,6017.273326323347
2020,1,8,9,0,2020-01-08 09:00:00,5986.841749557784
2020,1,8,9,30,2020-01-08 09:30:00,5960.001296801812
2020,1,8,10,0,2020-01-08 10:00:00,5996.0041744674545
2020,1,8,10,30,2020-01-08 10:30:00,6011.51275381064
2020,1,8,11,0,2020-01-08 11:00:00,6001.29481132625
2020,1,8,11,30,2020-01-08 11:30:00,6029.517597621956
2020,1,8,12,0,2020-01-08 12:00:00,6064.81558366818
2020,1,8,12,30,2020-01-08 12:30:00,6141.244986190006
2020,1,8,13,0,2020-01-08 13:00:00,6221.402816236632
2020,1,8,13,30,2020-01-08 13:30:00,6361.660572032272
2020,1,8,14,0,2020-01-08 14:00:00,6498.0395188148495
2020,1,8,14,30,2020-01-08 14:30:00,6622.388321932997
2020,1,8,15,0,2020-01-08 15:00:00,6762.251747690447
2020,1,8,15,30,2020-01-08 15:30:00,6919.5907728753355
2020,1,8,16,0,2020-01-08 16:00:00,7065.704470483448
2020,1,8,16,30,2020-01-08 16:30:00,7228.795030080512
2020,1,8,17,0,2020-01-08 17:00:00,7361.85327840214
2020,1,8,17,30,2020-01-08 17:30:00,7382.118241924439
2020,1,8,18,0,2020-01-08 18:00:00,7386.203387945832
2020,1,8,18,30,2020-01-08 18:30:00,7464.073065035473
2020,1,8,19,0,2020-01-08 19:00:00,7518.9281202648735
2020,1,8,19,30,2020-01-08 19:30:00,7481.458415242045
2020,1,8,20,0,2020-01-08 20:00:00,7363.018828492672
2020,1,8,20,30,2020-01-08 20:30:00,7141.783449789669
2020,1,8,21,0,2020-01-08 21:00:00,6945.442584451523
2020,1,8,21,30,2020-01-08 21:30:00,6754.377522041608
2020,1,8,22,0,2020-01-08 22:00:00,6536.212180091048
2020,1,8,22,30,2020-01-08 22:30:00,6349.937630459885
2020,1,8,23,0,2020-01-08 23:00:00,6158.560235645911
2020,1,8,23,30,2020-01-08 23:30:00,5960.315019435666
2020,1,9,0,0,2020-01-09 00:00:00,5824.133453566086
2020,1,9,0,30,2020-01-09 00:30:00,5684.609620446182
2020,1,9,1,0,2020-01-09 01:00:00,5567.059213092284
2020,1,9,1,30,2020-01-09 01:30:00,5487.7777858175305
2020,1,9,2,0,2020-01-09 02:00:00,5421.207744531645
2020,1,9,2,30,2020-01-09 02:30:00,5381.755041251435
